"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length";"Track Length";"Die Length";"Net Length";"F.Cu";"In1.Cu";"In2.Cu";"In3.Cu";"In4.Cu";"In5.Cu";"In6.Cu";"In7.Cu";"In8.Cu";"In9.Cu";"In10.Cu";"B.Cu";
179;"/DDR5 SODIMM/B.DQ3";2;2;1.6730 mm;54.3227 mm;20.8190 mm;76.8147 mm;2.0822 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;52.2404 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
180;"+1V2";20;10;12.4400 mm;126.6676 mm;0.0000 mm;139.1076 mm;121.2373 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;5.4303 mm;
181;"+3V3";147;97;107.2950 mm;134.3591 mm;0.0000 mm;241.6541 mm;59.9966 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;74.3625 mm;
182;"+5V";12;18;27.9900 mm;53.6391 mm;0.0000 mm;81.6291 mm;18.1361 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;35.5030 mm;
183;"/DDR5 SODIMM/B.~{DM0}";2;2;1.6730 mm;50.5717 mm;24.5700 mm;76.8147 mm;2.0942 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;48.4775 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
184;"/DDR5 SODIMM/B.DQS0_N";2;2;1.6730 mm;53.4549 mm;21.6870 mm;76.8149 mm;2.3075 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;51.1473 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
185;"/DDR5 SODIMM/B.DQS0_P";2;2;1.6730 mm;53.0349 mm;22.1070 mm;76.8149 mm;2.3075 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;50.7273 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
186;"/DDR5 SODIMM/B.DQ4";2;2;1.6730 mm;50.3167 mm;24.8250 mm;76.8147 mm;2.1620 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;48.1546 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
187;"+1V1";50;33;45.0950 mm;37.8555 mm;0.0000 mm;82.9505 mm;16.2309 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;21.6247 mm;
188;"/Supply/~{PB_CTRL_INT}";3;2;3.1100 mm;14.7962 mm;0.0000 mm;17.9062 mm;1.8590 mm;0.0000 mm;12.1486 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.7887 mm;
189;"/Supply/FB6";3;1;1.5550 mm;2.6837 mm;0.0000 mm;4.2387 mm;1.8114 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.8723 mm;
190;"/Supply/FB5";3;1;1.5550 mm;2.5904 mm;0.0000 mm;4.1454 mm;1.7467 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.8437 mm;
191;"/Supply/FB1";3;1;1.5550 mm;2.6531 mm;0.0000 mm;4.2081 mm;1.7808 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.8723 mm;
192;"/Supply/FB2";3;1;1.5550 mm;2.6954 mm;0.0000 mm;4.2504 mm;1.8101 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.8853 mm;
193;"/DDR5 SODIMM/B.DQ5";2;2;1.6730 mm;49.9797 mm;25.1620 mm;76.8147 mm;2.1957 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;47.7840 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
194;"/DDR5 SODIMM/B.DQ6";2;2;1.6730 mm;51.2817 mm;23.8600 mm;76.8147 mm;2.0812 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;49.2005 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
195;"Net-(J6-P4)";2;0;0.0000 mm;1.5977 mm;0.0000 mm;1.5977 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;1.5977 mm;
196;"Net-(J6-P5)";2;0;0.0000 mm;1.8371 mm;0.0000 mm;1.8371 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;1.8371 mm;
197;"/Supply/FB3";3;1;1.5550 mm;2.9925 mm;0.0000 mm;4.5475 mm;2.0381 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.9544 mm;
198;"/Supply/FB7";3;1;1.5550 mm;2.9323 mm;0.0000 mm;4.4873 mm;2.0099 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.9224 mm;
199;"/Supply/FB8";3;1;1.5550 mm;2.8593 mm;0.0000 mm;4.4143 mm;1.9996 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.8598 mm;
200;"/DDR5 SODIMM/B.DQ7";2;2;1.6730 mm;51.1807 mm;23.9610 mm;76.8147 mm;2.0947 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;49.0860 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
201;"/Supply/FB4";3;1;1.5550 mm;3.1264 mm;0.0000 mm;4.6814 mm;1.9819 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;1.1445 mm;
202;"/Supply/EN1";3;2;2.3915 mm;24.3813 mm;0.0000 mm;26.7728 mm;1.8211 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;21.8347 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.7254 mm;
203;"/Supply/EN2";3;2;1.8395 mm;33.9417 mm;0.0000 mm;35.7812 mm;1.9855 mm;0.0000 mm;31.2406 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.7155 mm;
204;"/Supply/EN3";3;2;1.8395 mm;49.3429 mm;0.0000 mm;51.1824 mm;1.9609 mm;0.0000 mm;46.6565 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.7254 mm;
205;"/Supply/MGTAVTT_ILIM";2;0;0.0000 mm;1.4250 mm;0.0000 mm;1.4250 mm;1.4250 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
206;"/Supply/1V0_FB";2;0;0.0000 mm;1.5721 mm;0.0000 mm;1.5721 mm;1.5721 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
207;"+1V2_MGTAVTT";17;11;17.1050 mm;10.5458 mm;0.0000 mm;27.6508 mm;5.6512 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;4.8946 mm;
208;"+1V0";48;57;86.7955 mm;118.5988 mm;0.0000 mm;205.3943 mm;14.8960 mm;0.0000 mm;0.0255 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;103.6773 mm;
209;"/DDR5 SODIMM/B.DQ8";2;2;0.5690 mm;57.7836 mm;18.4620 mm;76.8146 mm;2.2416 mm;0.0000 mm;55.5420 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
213;"/Supply/sp_SEN_+";2;2;1.1210 mm;27.9531 mm;0.0000 mm;29.0741 mm;1.2653 mm;0.0000 mm;0.0000 mm;0.0000 mm;26.6879 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
214;"/DDR5 SODIMM/B.DQ9";2;2;0.5690 mm;60.5527 mm;15.6930 mm;76.8147 mm;2.2345 mm;0.0000 mm;58.3182 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
215;"HOT_SWAP_YELLOW";2;2;3.1100 mm;54.5783 mm;20.0850 mm;77.7733 mm;1.4771 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;53.1012 mm;
216;"HOT_SWAP_GREEN";2;2;3.1100 mm;55.9126 mm;20.4970 mm;79.5196 mm;1.4771 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;54.4355 mm;
217;"HOT_SWAP_RED";2;2;3.1100 mm;55.2896 mm;20.4690 mm;78.8686 mm;1.4771 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;53.8125 mm;
218;"/Supply/sp_SEN_-";2;2;1.1210 mm;28.2938 mm;0.0000 mm;29.4148 mm;1.2665 mm;0.0000 mm;0.0000 mm;0.0000 mm;27.0273 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
219;"/DDR5 SODIMM/B.DQ10";2;2;0.5690 mm;58.3336 mm;17.9120 mm;76.8146 mm;2.1331 mm;0.0000 mm;56.2005 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
220;"/Supply/spare";3;5;7.7750 mm;0.0000 mm;0.0000 mm;7.7750 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
221;"POWER";5;2;3.1100 mm;99.6871 mm;0.0000 mm;102.7971 mm;4.7196 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;94.9676 mm;
222;"FPGA_POWER_CYCLE";3;3;1.6730 mm;81.5474 mm;19.8390 mm;103.0594 mm;2.6116 mm;0.0000 mm;14.0619 mm;0.0000 mm;0.0000 mm;0.0000 mm;64.8738 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
223;"FPGA_POWER_OFF";3;3;3.1100 mm;39.2855 mm;17.9330 mm;60.3285 mm;2.5792 mm;0.0000 mm;0.0038 mm;0.0000 mm;0.0000 mm;0.0000 mm;17.8058 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;18.8966 mm;
224;"/Supply/3V3_SEN_+";2;2;1.1210 mm;10.8371 mm;0.0000 mm;11.9581 mm;1.2665 mm;0.0000 mm;0.0000 mm;0.0000 mm;9.5706 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
225;"/Supply/1V8_SEN_+";2;2;1.1210 mm;10.8765 mm;0.0000 mm;11.9976 mm;1.2675 mm;0.0000 mm;0.0000 mm;0.0000 mm;9.6090 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
226;"/Supply/3V3_SEN_-";2;2;1.1210 mm;10.7439 mm;0.0000 mm;11.8649 mm;1.2653 mm;0.0000 mm;0.0000 mm;0.0000 mm;9.4786 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
227;"/Supply/1V8_SEN_-";2;2;1.1210 mm;11.1127 mm;0.0000 mm;12.2337 mm;1.2643 mm;0.0000 mm;0.0000 mm;0.0000 mm;9.8484 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
228;"/DDR5 SODIMM/B.DQ11";2;2;0.5690 mm;56.9477 mm;19.2980 mm;76.8147 mm;2.1335 mm;0.0000 mm;54.8142 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
231;"/DDR5 SODIMM/B.DQS1_N";2;2;0.5690 mm;58.3566 mm;17.8890 mm;76.8146 mm;2.1099 mm;0.0000 mm;56.2468 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
233;"/Supply/~{PB_CTRL_IN}";3;0;0.0000 mm;8.7095 mm;0.0000 mm;8.7095 mm;8.7095 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
234;"/DDR5 SODIMM/B.DQS1_P";2;2;0.5690 mm;57.9775 mm;18.2680 mm;76.8145 mm;2.1099 mm;0.0000 mm;55.8677 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
235;"/DDR5 SODIMM/B.~{DM1}";2;2;0.5690 mm;56.2566 mm;19.9890 mm;76.8146 mm;2.2401 mm;0.0000 mm;54.0165 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
236;"/DDR5 SODIMM/B.DQ12";2;2;0.5690 mm;55.6427 mm;20.6030 mm;76.8147 mm;2.2360 mm;0.0000 mm;53.4067 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
237;"/DDR5 SODIMM/B.DQ13";2;2;0.5690 mm;57.1357 mm;19.1100 mm;76.8147 mm;2.2375 mm;0.0000 mm;54.8982 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
238;"/DDR5 SODIMM/B.DQ14";2;2;0.5690 mm;56.0136 mm;20.2320 mm;76.8146 mm;2.1406 mm;0.0000 mm;53.8730 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
239;"/DDR5 SODIMM/B.DQ15";2;2;0.5690 mm;57.1336 mm;19.1120 mm;76.8146 mm;2.1316 mm;0.0000 mm;55.0020 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
240;"/DDR5 SODIMM/B.DQ16";2;2;1.1210 mm;84.9854 mm;19.5100 mm;105.6164 mm;2.2379 mm;0.0000 mm;0.0000 mm;0.0000 mm;82.7476 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
241;"/DDR5 SODIMM/B.DQ17";2;2;1.1210 mm;82.7685 mm;21.7270 mm;105.6165 mm;2.2382 mm;0.0000 mm;0.0000 mm;0.0000 mm;80.5303 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
242;"/DDR5 SODIMM/B.DQ18";2;2;1.1210 mm;83.0183 mm;21.4770 mm;105.6163 mm;2.1167 mm;0.0000 mm;0.0000 mm;0.0000 mm;80.9017 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
243;"/DDR5 SODIMM/B.DQ19";2;2;1.1210 mm;86.2103 mm;18.2850 mm;105.6163 mm;2.1077 mm;0.0000 mm;0.0000 mm;0.0000 mm;84.1026 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
244;"FTDI_DIS";3;2;0.5690 mm;66.4547 mm;0.0000 mm;67.0237 mm;3.4247 mm;0.0000 mm;63.0300 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
245;"/DDR5 SODIMM/B.~{DM2}";2;2;1.1210 mm;84.3843 mm;20.1110 mm;105.6163 mm;2.1081 mm;0.0000 mm;0.0000 mm;0.0000 mm;82.2762 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
246;"/DDR5 SODIMM/B.DQS2_N";2;2;1.1210 mm;82.6542 mm;21.8400 mm;105.6152 mm;2.3634 mm;0.0000 mm;0.0000 mm;0.0000 mm;80.2909 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
247;"/DDR5 SODIMM/B.DQS2_P";2;2;1.1210 mm;83.0273 mm;21.4680 mm;105.6163 mm;2.3634 mm;0.0000 mm;0.0000 mm;0.0000 mm;80.6639 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
248;"VDDSPD";6;1;1.5550 mm;10.0122 mm;0.0000 mm;11.5672 mm;9.2589 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.7532 mm;
249;"/DDR5 SODIMM/B.DQ20";2;2;1.1210 mm;86.0722 mm;18.4230 mm;105.6162 mm;2.2155 mm;0.0000 mm;0.0000 mm;0.0000 mm;83.8567 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
250;"/DDR5 SODIMM/B.DQ21";2;2;1.1210 mm;86.7652 mm;17.7300 mm;105.6162 mm;2.2140 mm;0.0000 mm;0.0000 mm;0.0000 mm;84.5512 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
251;"/DDR5 SODIMM/B.DQ22";2;2;1.1210 mm;85.7523 mm;18.7430 mm;105.6162 mm;2.1145 mm;0.0000 mm;0.0000 mm;0.0000 mm;83.6377 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
252;"/DDR5 SODIMM/B.DQ23";2;2;1.1210 mm;87.7784 mm;16.7170 mm;105.6164 mm;2.1100 mm;0.0000 mm;0.0000 mm;0.0000 mm;85.6684 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
253;"FAN_PWM";2;3;3.1100 mm;36.8029 mm;18.6850 mm;58.5979 mm;1.3667 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;29.4797 mm;0.0000 mm;5.9565 mm;
256;"/DDR5 SODIMM/B.DQ24";2;2;0.5690 mm;86.3492 mm;18.6980 mm;105.6162 mm;2.2140 mm;0.0000 mm;84.1352 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
257;"/DDR5 SODIMM/B.DQ25";2;2;0.5690 mm;88.7332 mm;16.3140 mm;105.6162 mm;2.2125 mm;0.0000 mm;86.5207 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
258;"/DDR5 SODIMM/B.DQ26";2;2;0.5690 mm;88.0511 mm;16.9960 mm;105.6161 mm;2.1099 mm;0.0000 mm;85.9412 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
259;"/DDR5 SODIMM/B.DQ27";2;2;0.5690 mm;87.2982 mm;17.7490 mm;105.6162 mm;2.1115 mm;0.0000 mm;85.1867 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
260;"/DDR5 SODIMM/B.DQS3_N";2;2;0.5690 mm;87.5083 mm;17.5390 mm;105.6163 mm;2.2110 mm;0.0000 mm;85.2972 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
261;"/Supply/PG1";2;2;3.1100 mm;25.2047 mm;0.0000 mm;28.3147 mm;1.6228 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;23.5819 mm;
262;"/Supply/PG2";2;2;1.1210 mm;37.3261 mm;0.0000 mm;38.4471 mm;1.5837 mm;0.0000 mm;0.0000 mm;0.0000 mm;35.7424 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
263;"/Supply/PG3";2;2;1.1210 mm;33.9877 mm;0.0000 mm;35.1087 mm;1.7216 mm;0.0000 mm;0.0000 mm;0.0000 mm;32.2660 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
264;"/DDR5 SODIMM/B.DQS3_P";2;2;0.5690 mm;87.3062 mm;17.7410 mm;105.6162 mm;2.2110 mm;0.0000 mm;85.0952 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
265;"/DDR5 SODIMM/B.~{DM3}";2;2;0.5690 mm;88.5724 mm;16.4750 mm;105.6164 mm;2.2437 mm;0.0000 mm;86.3287 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
266;"/Supply/QDCDC2_SCL";2;2;0.5690 mm;94.5571 mm;0.0000 mm;95.1261 mm;2.0183 mm;0.0000 mm;92.5389 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
267;"/DDR5 SODIMM/B.DQ28";2;2;0.5690 mm;91.3652 mm;13.6820 mm;105.6162 mm;2.2131 mm;0.0000 mm;89.1521 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
268;"/DDR5 SODIMM/B.DQ29";2;2;0.5690 mm;92.3294 mm;12.7180 mm;105.6164 mm;2.2102 mm;0.0000 mm;90.1192 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
269;"/DDR5 SODIMM/B.DQ30";2;2;0.5690 mm;91.3643 mm;13.6830 mm;105.6163 mm;2.1081 mm;0.0000 mm;89.2562 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
270;"/DDR5 SODIMM/B.DQ31";2;2;0.5690 mm;91.3803 mm;13.6670 mm;105.6163 mm;2.1084 mm;0.0000 mm;89.2719 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
271;"/Debug FTDI/DBG_USB_P";5;2;0.5690 mm;36.3950 mm;0.0000 mm;36.9640 mm;34.5067 mm;0.0000 mm;1.8883 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
272;"/Debug FTDI/DBG_USB_N";5;2;0.5690 mm;36.3590 mm;0.0000 mm;36.9280 mm;34.4833 mm;0.0000 mm;1.8757 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
